First Name,Last Name,Mid-Term Exam,Behavior Mid,Quiz Mid,Homework Mid,Diary Mid,Curve,Final Grade,Teacher Comments,Parent Email,Grade,Teacher1Name,Teacher2Name
Sangeeth,Thomas,50,10,1,10,10,10,91,Thank you for using,"sangeethmenachery@gmail.com, s@sangeethmenachery@gmail.com",10,James,George
Shawn,Thomas,10,1,3,10,10,8,42,Excellent work in class,,10,James,George
James,Thomas,46,10,10,5,0,10,81,Good work,,10,James,George
Bobby,Thomas,50,10,2,10,5,10,87,Nice,,10,James,George
Bob,Thomas,20,10,10,10,10,4,64,Wow,,10,James,George
Arthur,Thomas,25,10,3,2,10,10,60,Cool,,10,James,George
Sarah,Thomas,50,10,10,10,123,2,205,Nice,,10,James,George
Sangeeth2,Thomas,50,1,1,10,10,10,82,Thank you for using,"sangeethmenachery@gmail.com, s@sangeethmenachery@gmail.com",10,James,George
Shawn2,Thomas,10,3,10,2,10,8,43,Excellent work in class,,10,James,George
James2,Thomas,46,10,10,2,0,10,78,Good work,,10,James,George
Bobby2,Thomas,50,10,5,3,10,10,88,Nice,,10,James,George
Bob2,Thomas,20,10,10,193,32,5,270,Wow,,10,James,George
Arthur2,Thomas,25,10,10,2,10,10,67,Cool,,10,James,George
Sarah2,Thomas,50,10,10,10,10,2,92,Nice,,10,James,George
3,Thomas,50,10,1,10,10,10,91,Thank you for using,"sangeethmenachery@gmail.com, s@sangeethmenachery@gmail.com",10,James,George
4,Thomas,10,5,3,5,10,8,41,Excellent work in class,,10,James,George
5,Thomas,3,10,10,10,0,10,43,Good work,,10,James,George
6,Thomas,50,10,5,10,10,10,95,Nice,,10,James,George
7,Thomas,20,10,10,3,10,4,57,Wow,,10,James,George
8,Thomas,25,10,10,2,4,10,61,Cool,,10,James,George
9,Thomas,50,5,10,10,10,2,87,Nice,,10,James,George
10,Thomas,50,4,1,10,10,10,85,Thank you for using,"sangeethmenachery@gmail.com, s@sangeethmenachery@gmail.com",10,James,George
11,Thomas,10,1,3,43,10,8,75,Excellent work in class,,10,James,George
12,Thomas,2,10,10,10,1,10,43,Good work,,10,James,George
13,Thomas,50,10,5,10,5,12,92,Nice,,10,James,George
14,Thomas,20,10,10,3,3,4,50,Wow,,10,James,George
15,Thomas,25,10,2,2,10,10,59,Cool,,10,James,George
16,Thomas,50,10,10,10,10,2,92,Nice,,10,James,George
